Stednavn;Koordinater;Breddegrader;Længdegrader
Staden København Amt;55.67585228213869, 12.560664575484143;5567585228;1256066458
Århus Amt;56.163352248046436, 10.200103268613189;5616335225;1020010327
Odense Amt;55.40243925255319, 10.406679242961125;5540243925;1040667924
Ålborg Amt;57.04810474683948, 9.922191009553075;5704810475;992219101
